"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2023,CH4,Commercial,Space Cooling,0.14951399580526023
2023,CH4,Commercial,Space Heating,36.60713992968229
2023,CH4,Commercial,Water Heating,4.128963432357077
2023,CH4,Industry,Industrial Processes,11.648946634164083
2023,CH4,Industry,Space Cooling,0.19358593818628328
2023,CH4,Industry,Space Heating,0.8868528523443295
2023,CH4,Industry,Water Heating,2.412102291287064
2023,CH4,Public,Auxiliary Equipment,0.014208752598161116
2023,CH4,Public,Space Cooling,0.06661234298354937
2023,CH4,Public,Space Heating,8.505956359165653
2023,CH4,Public,Water Heating,0.7103570849353719
2023,CH4,Residential,Clothe Dryer,0.023619060418386482
2023,CH4,Residential,Range,0.15683517702002586
2023,CH4,Residential,Space Heating,198.8749341395005
2023,CH4,Residential,Water Heating,847.6423311334638
2023,CO2,Commercial,Auxiliary Equipment,153577.50453121142
2023,CO2,Commercial,Space Cooling,6360.633490358182
2023,CO2,Commercial,Space Heating,1876659.8107773773
2023,CO2,Commercial,Water Heating,214481.57123856156
2023,CO2,Industry,Industrial Processes,576494.5735678122
2023,CO2,Industry,Space Cooling,9878.114899883862
2023,CO2,Industry,Space Heating,40840.98904463541
2023,CO2,Industry,Water Heating,115945.21703789316
2023,CO2,Public,Auxiliary Equipment,555.7501010840193
2023,CO2,Public,Space Cooling,2154.382554254586
2023,CO2,Public,Space Heating,442073.26591733674
2023,CO2,Public,Water Heating,39603.27440483567
2023,CO2,Residential,Clothe Dryer,1205.2104343219917
2023,CO2,Residential,Range,7651.347605003287
2023,CO2,Residential,Space Heating,2748626.4495566804
2023,CO2,Residential,Water Heating,691386.7521761542
2023,CO2e,Commercial,Auxiliary Equipment,156355.4822679248
2023,CO2e,Commercial,Space Cooling,6405.920051317568
2023,CO2e,Commercial,Space Heating,1888454.7019913103
2023,CO2e,Commercial,Water Heating,215851.64120726433
2023,CO2e,Industry,Industrial Processes,579942.237948333
2023,CO2e,Industry,Space Cooling,9936.750510944768
2023,CO2e,Industry,Space Heating,41153.32827959256
2023,CO2e,Industry,Water Heating,116723.55329776164
2023,CO2e,Public,Auxiliary Equipment,560.6559781903646
2023,CO2e,Public,Space Cooling,2174.5588857161406
2023,CO2e,Public,Space Heating,444663.57211263315
2023,CO2e,Public,Water Heating,39824.96108374795
2023,CO2e,Residential,Clothe Dryer,1212.3644562168256
2023,CO2e,Residential,Range,7698.851693600008
2023,CO2e,Residential,Space Heating,2768503.85362315
2023,CO2e,Residential,Water Heating,716019.990578692
2023,N2O,Commercial,Auxiliary Equipment,9.140614305647022
2023,N2O,Commercial,Space Cooling,0.1414321041861958
2023,N2O,Commercial,Space Heating,37.000474078549715
2023,N2O,Commercial,Water Heating,4.30658300880382
2023,N2O,Industry,Industrial Processes,10.74844463490989
2023,N2O,Industry,Space Cooling,0.18312183341945723
2023,N2O,Industry,Space Heating,0.9856218961675158
2023,N2O,Industry,Water Heating,2.4418862810449515
2023,N2O,Public,Auxiliary Equipment,0.015461386918737519
2023,N2O,Public,Space Cooling,0.06301165187550588
2023,N2O,Public,Space Heating,8.092889636756913
2023,N2O,Public,Water Heating,0.6938563091564315
2023,N2O,Residential,Clothe Dryer,0.02234235444982506
2023,N2O,Residential,Range,0.14835754993053257
2023,N2O,Residential,Space Heating,52.68802164274758
2023,N2O,Residential,Water Heating,22.928689425285995
2024,CH4,Commercial,Auxiliary Equipment,1.9303786616281104
2024,CH4,Commercial,Space Cooling,0.10570238789897207
