regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGSAT2005APL,8.907,kunits,Aggregated DemandResidentialBuildingSingle Attached2005Appliances
TO,2016,ADEMRESBDGSAT2010APL,13.81,kunits,Aggregated DemandResidentialBuildingSingle Attached2010Appliances
TO,2016,ADEMRESBDGSAT2015APL,22.039,kunits,Aggregated DemandResidentialBuildingSingle Attached2015Appliances
TO,2016,ADEMRESBDGSAT2020APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2020Appliances
TO,2016,ADEMRESBDGSAT2025APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2025Appliances
TO,2016,ADEMRESBDGSAT2030APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2030Appliances
TO,2016,ADEMRESBDGSAT2035APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2035Appliances
TO,2016,ADEMRESBDGSAT2040APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2040Appliances
TO,2016,ADEMRESBDGSAT2045APL,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2045Appliances
TO,2016,ADEMRESBDGAPA1960REF,44.656,kunits,Aggregated DemandResidentialBuildingApartments1960Refrigerator
TO,2016,ADEMRESBDGAPA1977REF,237.215,kunits,Aggregated DemandResidentialBuildingApartments1977Refrigerator
TO,2016,ADEMRESBDGAPA1983REF,26.506,kunits,Aggregated DemandResidentialBuildingApartments1983Refrigerator
TO,2016,ADEMRESBDGAPA1995REF,51.516,kunits,Aggregated DemandResidentialBuildingApartments1995Refrigerator
TO,2016,ADEMRESBDGAPA2000REF,13.496,kunits,Aggregated DemandResidentialBuildingApartments2000Refrigerator
TO,2016,ADEMRESBDGAPA2005REF,14.438,kunits,Aggregated DemandResidentialBuildingApartments2005Refrigerator
TO,2016,ADEMRESBDGAPA2010REF,33.354,kunits,Aggregated DemandResidentialBuildingApartments2010Refrigerator
TO,2016,ADEMRESBDGAPA2015REF,194.291,kunits,Aggregated DemandResidentialBuildingApartments2015Refrigerator
TO,2016,ADEMRESBDGAPA2020REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2020Refrigerator
TO,2016,ADEMRESBDGAPA2025REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2025Refrigerator
TO,2016,ADEMRESBDGAPA2030REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2030Refrigerator
TO,2016,ADEMRESBDGAPA2035REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2035Refrigerator
TO,2016,ADEMRESBDGAPA2040REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Refrigerator
TO,2016,ADEMRESBDGAPA2045REF,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Refrigerator
TO,2016,ADEMRESBDGSDE1960REF,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Refrigerator
TO,2016,ADEMRESBDGSDE1977REF,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Refrigerator
TO,2016,ADEMRESBDGSDE1983REF,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Refrigerator
TO,2016,ADEMRESBDGSDE1995REF,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Refrigerator
TO,2016,ADEMRESBDGSDE2000REF,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Refrigerator
TO,2016,ADEMRESBDGSDE2005REF,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Refrigerator
TO,2016,ADEMRESBDGSDE2010REF,7.727,kunits,Aggregated DemandResidentialBuildingSingle Detached2010Refrigerator
TO,2016,ADEMRESBDGSDE2015REF,11.604,kunits,Aggregated DemandResidentialBuildingSingle Detached2015Refrigerator
TO,2016,ADEMRESBDGSDE2020REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2020Refrigerator
TO,2016,ADEMRESBDGSDE2025REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2025Refrigerator
TO,2016,ADEMRESBDGSDE2030REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2030Refrigerator
TO,2016,ADEMRESBDGSDE2035REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2035Refrigerator
TO,2016,ADEMRESBDGSDE2040REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2040Refrigerator
TO,2016,ADEMRESBDGSDE2045REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2045Refrigerator
TO,2016,ADEMRESBDGSAT1960REF,71.873,kunits,Aggregated DemandResidentialBuildingSingle Attached1960Refrigerator
TO,2016,ADEMRESBDGSAT1977REF,46.425,kunits,Aggregated DemandResidentialBuildingSingle Attached1977Refrigerator
TO,2016,ADEMRESBDGSAT1983REF,12.109,kunits,Aggregated DemandResidentialBuildingSingle Attached1983Refrigerator
TO,2016,ADEMRESBDGSAT1995REF,3.769,kunits,Aggregated DemandResidentialBuildingSingle Attached1995Refrigerator
TO,2016,ADEMRESBDGSAT2000REF,2.052,kunits,Aggregated DemandResidentialBuildingSingle Attached2000Refrigerator
TO,2016,ADEMRESBDGSAT2005REF,8.907,kunits,Aggregated DemandResidentialBuildingSingle Attached2005Refrigerator
TO,2016,ADEMRESBDGSAT2010REF,13.81,kunits,Aggregated DemandResidentialBuildingSingle Attached2010Refrigerator
TO,2016,ADEMRESBDGSAT2015REF,22.039,kunits,Aggregated DemandResidentialBuildingSingle Attached2015Refrigerator
TO,2016,ADEMRESBDGSAT2020REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2020Refrigerator
TO,2016,ADEMRESBDGSAT2025REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2025Refrigerator
TO,2016,ADEMRESBDGSAT2030REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2030Refrigerator
TO,2016,ADEMRESBDGSAT2035REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2035Refrigerator
TO,2016,ADEMRESBDGSAT2040REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2040Refrigerator
TO,2016,ADEMRESBDGSAT2045REF,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2045Refrigerator
TO,2016,ADEMRESBDGAPA1960FRZ,44.656,kunits,Aggregated DemandResidentialBuildingApartments1960Freezer
TO,2016,ADEMRESBDGAPA1977FRZ,237.215,kunits,Aggregated DemandResidentialBuildingApartments1977Freezer
TO,2016,ADEMRESBDGAPA1983FRZ,26.506,kunits,Aggregated DemandResidentialBuildingApartments1983Freezer
