regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGHLCNewSHFUR___STDPRO_23,0,,
TO,2050,COMBDGHLCNewSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGHLCNewSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGHLCNewSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGHLCNewSHHEP___STDELC_16,0,,
TO,2050,COMBDGHLCNewSHHEP___STDNGA_23,0,,
TO,2050,COMBDGHLCNewSHPLT___STDELC_16,0,,
TO,2050,COMBDGHLCNewSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGHLCNewSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGHLCNewSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGHLCNewWH______STDELC_16,0,,
TO,2050,COMBDGHLCNewWH______STDHFO_16,0,,
TO,2050,COMBDGHLCNewWH______STDKER_16,0,,
TO,2050,COMBDGHLCNewWH______STDLFO_16,0,,
TO,2050,COMBDGHLCNewWH______STDNGA_16,0,,
TO,2050,COMBDGHLCNewWH______STDPRO_16,0,,
TO,2050,COMBDGHLCNewWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGHLCNewWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGHLCNewWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGHLCNewWHSYS___STDBMA_23,0,,
TO,2050,COMBDGHLCNewWHSYS___STDBWP_23,0,,
TO,2050,COMBDGHLCNewWHSYS___STDHFO_23,0,,
TO,2050,COMBDGHLCNewWHSYS___STDKER_23,0,,
TO,2050,COMBDGHLCNewWHSYS___STDLFO_23,0,,
TO,2050,COMBDGHLCNewWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGHLCNewWHWTK___HIGELC_23,0,,
TO,2050,COMBDGHLCNewWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGHLCNewWHWTK___STDELC_23,0,,
TO,2050,COMBDGHLCNewWHWTK___STDNGA_23,0,,
TO,2050,COMBDGHLCOldSHFUR___ESRNGA_23,0,,
TO,2050,COMBDGHLCOldSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGHLCOldSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGHLCOldSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDELC_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDELC_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDHFO_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDHFO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDKER_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDKER_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDLFO_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDLFO_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDNGA_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDNGA_23,0,,
TO,2050,COMBDGHLCOldSHFUR___STDPRO_16,0,,
TO,2050,COMBDGHLCOldSHFUR___STDPRO_23,0,,
TO,2050,COMBDGHLCOldSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGHLCOldSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGHLCOldSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGHLCOldSHHEP___STDELC_16,0,,
TO,2050,COMBDGHLCOldSHHEP___STDNGA_23,0,,
TO,2050,COMBDGHLCOldSHPLT___STDELC_16,0,,
TO,2050,COMBDGHLCOldSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGHLCOldSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGHLCOldSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGHLCOldWH______STDELC_16,0,,
TO,2050,COMBDGHLCOldWH______STDHFO_16,0,,
TO,2050,COMBDGHLCOldWH______STDKER_16,0,,
TO,2050,COMBDGHLCOldWH______STDLFO_16,0,,
TO,2050,COMBDGHLCOldWH______STDNGA_16,0,,
TO,2050,COMBDGHLCOldWH______STDPRO_16,0,,
TO,2050,COMBDGHLCOldWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGHLCOldWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGHLCOldWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGHLCOldWHSYS___STDBMA_23,0,,
TO,2050,COMBDGHLCOldWHSYS___STDBWP_23,0,,
TO,2050,COMBDGHLCOldWHSYS___STDHFO_23,0,,
TO,2050,COMBDGHLCOldWHSYS___STDKER_23,0,,
TO,2050,COMBDGHLCOldWHSYS___STDLFO_23,0,,
TO,2050,COMBDGHLCOldWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGHLCOldWHWTK___HIGELC_23,0,,
TO,2050,COMBDGHLCOldWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGHLCOldWHWTK___STDELC_23,0,,
TO,2050,COMBDGHLCOldWHWTK___STDNGA_23,0,,
TO,2050,COMBDGICINewSHFUR___ESRNGA_23,0,,
