GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2021,CO2,Commercial,Wholesale Trade,Old,220613.6645211675
2021,CO2,Industry,,,827135.5520056603
2021,CO2,Public,Hospital,Old,96815.45865496185
2021,CO2,Public,Municipality,Old,78875.95518438629
2021,CO2,Public,Post-Secondary Institution,Old,143472.00877751622
2021,CO2,Public,School board,Old,149208.40655880843
2021,CO2,Residential,Apartments,Old,1490406.3644928164
2021,CO2,Residential,Single Attached,Old,733498.8438393844
2021,CO2,Residential,Single Detached,Old,1649580.5110612533
2021,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95061.69486295801
2021,CO2e,Commercial,Accommodation and Food Services,Old,110716.65242040662
2021,CO2e,Commercial,Educational Services,Old,281818.52716728137
2021,CO2e,Commercial,Health Care and Social Assistance,Old,178802.75081370832
2021,CO2e,Commercial,Information and Cultural Industries,Old,13724.984356748246
2021,CO2e,Commercial,Offices,Old,993832.5590300376
2021,CO2e,Commercial,Other Services,Old,116204.8878218755
2021,CO2e,Commercial,Retail Trade,Old,358027.12131118315
2021,CO2e,Commercial,Transportation and Warehousing,Old,62812.42581217894
2021,CO2e,Commercial,Wholesale Trade,Old,222153.22028793232
2021,CO2e,Industry,,,832086.612386236
2021,CO2e,Public,Hospital,Old,97362.79378184356
2021,CO2e,Public,Municipality,Old,79362.82481950289
2021,CO2e,Public,Post-Secondary Institution,Old,144329.36602657576
2021,CO2e,Public,School board,Old,150132.21766787773
2021,CO2e,Residential,Apartments,Old,1512379.94945279
2021,CO2e,Residential,Single Attached,Old,742034.8235864904
2021,CO2e,Residential,Single Detached,Old,1667496.3117359513
2021,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.052427276763962
2021,N2O,Commercial,Accommodation and Food Services,Old,2.4107846408911837
2021,N2O,Commercial,Educational Services,Old,6.084956721524221
2021,N2O,Commercial,Health Care and Social Assistance,Old,3.9665870137226227
2021,N2O,Commercial,Information and Cultural Industries,Old,0.30821318307246465
2021,N2O,Commercial,Offices,Old,24.388881005419343
2021,N2O,Commercial,Other Services,Old,2.448772829900289
2021,N2O,Commercial,Retail Trade,Old,7.5699086119107815
2021,N2O,Commercial,Transportation and Warehousing,Old,1.4053046929023758
2021,N2O,Commercial,Wholesale Trade,Old,4.861184073512155
2021,N2O,Industry,,,15.45802347641779
2021,N2O,Public,Hospital,Old,1.712478573026834
2021,N2O,Public,Municipality,Old,1.5205337285303684
2021,N2O,Public,Post-Secondary Institution,Old,2.679209297129645
2021,N2O,Public,School board,Old,2.885129933545058
2021,N2O,Residential,Apartments,Old,33.679205639375255
2021,N2O,Residential,Single Attached,Old,15.435945128170387
2021,N2O,Residential,Single Detached,Old,34.01120264214364
2022,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8643325505394055
2022,CH4,Commercial,Accommodation and Food Services,Old,2.167609991758654
2022,CH4,Commercial,Educational Services,Old,5.426939353007078
2022,CH4,Commercial,Health Care and Social Assistance,Old,3.482359492689776
2022,CH4,Commercial,Information and Cultural Industries,Old,0.2792842840494336
2022,CH4,Commercial,Offices,Old,18.923983842651793
2022,CH4,Commercial,Other Services,Old,2.2803936504370466
2022,CH4,Commercial,Retail Trade,Old,6.904512960722969
2022,CH4,Commercial,Transportation and Warehousing,Old,1.2321483781146687
2022,CH4,Commercial,Wholesale Trade,Old,4.315766121244554
2022,CH4,Industry,,,16.427126165571735
2022,CH4,Public,Hospital,Old,1.7718915388884302
2022,CH4,Public,Municipality,Old,1.6275108902715743
2022,CH4,Public,Post-Secondary Institution,Old,2.8214146940401634
2022,CH4,Public,School board,Old,3.0711889519520543
2022,CH4,Residential,Apartments,Old,608.9366584480292
2022,CH4,Residential,Single Attached,Old,188.4857952366299
2022,CH4,Residential,Single Detached,Old,371.98229890768425
2022,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94147.82057099651
2022,CO2,Commercial,Accommodation and Food Services,Old,109607.23893590896
2022,CO2,Commercial,Educational Services,Old,278818.7543416921
2022,CO2,Commercial,Health Care and Social Assistance,Old,177258.41776397618
