regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2041,RESBDGAPAOldSHFUR___HIGPRO_23,0,,
TO,2041,RESBDGAPAOldSHFUR___MEDNGA_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDBMA_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDBWP_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDELC_23,0,,
TO,2041,RESBDGAPAOldSHFUR___STDKER_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDKER_23,0,,
TO,2041,RESBDGAPAOldSHFUR___STDLFO_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDLFO_23,0,,
TO,2041,RESBDGAPAOldSHFUR___STDNGA_23,0,,
TO,2041,RESBDGAPAOldSHFUR___STDPRO_16,0,,
TO,2041,RESBDGAPAOldSHFUR___STDPRO_23,0,,
TO,2041,RESBDGAPAOldSHHEP___STDNGA_23,0,,
TO,2041,RESBDGAPAOldSHPLT___STDELC_16,0,,
TO,2041,RESBDGAPAOldSHPLT1000WSTDELC_23,0,,
TO,2041,RESBDGAPAOldSHPLT1500WSTDELC_23,0,,
TO,2041,RESBDGAPAOldSHPLT500WSTDELC_23,0,,
TO,2041,RESBDGAPAOldSHPST___HIGBWP_23,0,,
TO,2041,RESBDGAPAOldSHPST___STDBWP_23,0,,
TO,2041,RESBDGAPAOldSHSTV___HIGBMA_23,0,,
TO,2041,RESBDGAPAOldSHSTV___STDBMA_23,0,,
TO,2041,RESBDGAPAOldWH______STDBMA_16,0,,
TO,2041,RESBDGAPAOldWH______STDBWP_16,0,,
TO,2041,RESBDGAPAOldWH______STDELC_16,0,,
TO,2041,RESBDGAPAOldWH______STDKER_16,0,,
TO,2041,RESBDGAPAOldWH______STDLFO_16,0,,
TO,2041,RESBDGAPAOldWH______STDNGA_16,0,,
TO,2041,RESBDGAPAOldWH______STDPRO_16,0,,
TO,2041,RESBDGAPAOldWHSTHBCKSTDELC_23,0,,
TO,2041,RESBDGAPAOldWHSTHBCKSTDNGA_23,0,,
TO,2041,RESBDGAPAOldWHSYS___STDBMA_23,0,,
TO,2041,RESBDGAPAOldWHSYS___STDBWP_23,0,,
TO,2041,RESBDGAPAOldWHSYS___STDKER_23,0,,
TO,2041,RESBDGAPAOldWHSYS___STDLFO_23,0,,
TO,2041,RESBDGAPAOldWHSYS___STDPRO_23,0,,
TO,2041,RESBDGAPAOldWHWTK___ESRNGA_23,0,,
TO,2041,RESBDGAPAOldWHWTK___HIGELC_23,0,,
TO,2041,RESBDGAPAOldWHWTK___HIGNGA_23,0,,
TO,2041,RESBDGAPAOldWHWTK___STDELC_23,0,,
TO,2041,RESBDGAPAOldWHWTK___STDNGA_23,0,,
TO,2041,RESBDGSATNewSHBOI___STDHH2_23,0,,
TO,2041,RESBDGSATNewSHFIR___HIGPRO_23,0,,
TO,2041,RESBDGSATNewSHFIR___STDPRO_23,0,,
TO,2041,RESBDGSATNewSHFUR___ESRNGA_23,0,,
TO,2041,RESBDGSATNewSHFUR___ESRPRO_23,0,,
TO,2041,RESBDGSATNewSHFUR___HIGLFO_23,0,,
TO,2041,RESBDGSATNewSHFUR___HIGNGA_16,0,,
TO,2041,RESBDGSATNewSHFUR___HIGNGA_23,0,,
TO,2041,RESBDGSATNewSHFUR___HIGPRO_23,0,,
TO,2041,RESBDGSATNewSHFUR___MEDNGA_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDBMA_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDBWP_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDELC_23,0,,
TO,2041,RESBDGSATNewSHFUR___STDKER_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDKER_23,0,,
TO,2041,RESBDGSATNewSHFUR___STDLFO_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDLFO_23,0,,
TO,2041,RESBDGSATNewSHFUR___STDNGA_23,0,,
TO,2041,RESBDGSATNewSHFUR___STDPRO_16,0,,
TO,2041,RESBDGSATNewSHFUR___STDPRO_23,0,,
TO,2041,RESBDGSATNewSHHEP___STDNGA_23,0,,
TO,2041,RESBDGSATNewSHPLT___STDELC_16,0,,
TO,2041,RESBDGSATNewSHPLT1000WSTDELC_23,0,,
TO,2041,RESBDGSATNewSHPLT1500WSTDELC_23,0,,
TO,2041,RESBDGSATNewSHPLT500WSTDELC_23,0,,
TO,2041,RESBDGSATNewSHPST___HIGBWP_23,0,,
TO,2041,RESBDGSATNewSHPST___STDBWP_23,0,,
TO,2041,RESBDGSATNewSHSTV___HIGBMA_23,0,,
TO,2041,RESBDGSATNewSHSTV___STDBMA_23,0,,
TO,2041,RESBDGSATNewWH______STDBMA_16,0,,
TO,2041,RESBDGSATNewWH______STDBWP_16,0,,
TO,2041,RESBDGSATNewWH______STDELC_16,0,,
TO,2041,RESBDGSATNewWH______STDKER_16,0,,
