regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,F,P2,RESBDGAPAOldCWA___CBHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldCWA___CBESRELC_23,1,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,W,N,RESBDGAPAOldCWA___CBESRELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,W,P1,RESBDGAPAOldCWA___CBESRELC_23,0.66,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,W,P2,RESBDGAPAOldCWA___CBESRELC_23,0.7,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,S,D,RESBDGAPAOldCWA___CBESRELC_23,0.88,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,S,N,RESBDGAPAOldCWA___CBESRELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,S,P1,RESBDGAPAOldCWA___CBESRELC_23,0.79,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,S,P2,RESBDGAPAOldCWA___CBESRELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,R,D,RESBDGAPAOldCWA___CBESRELC_23,0.92,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,R,N,RESBDGAPAOldCWA___CBESRELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,R,P1,RESBDGAPAOldCWA___CBESRELC_23,0.73,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,R,P2,RESBDGAPAOldCWA___CBESRELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,F,D,RESBDGAPAOldCWA___CBESRELC_23,0.96,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,F,N,RESBDGAPAOldCWA___CBESRELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,F,P1,RESBDGAPAOldCWA___CBESRELC_23,0.67,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,F,P2,RESBDGAPAOldCWA___CBESRELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedEnergy StarElectricity2023
TO,W,D,RESBDGAPAOldCWA___CBSTDELC_23,1,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldCWA___CBSTDELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldCWA___CBSTDELC_23,0.66,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldCWA___CBSTDELC_23,0.7,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldCWA___CBSTDELC_23,0.88,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldCWA___CBSTDELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldCWA___CBSTDELC_23,0.79,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldCWA___CBSTDELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldCWA___CBSTDELC_23,0.92,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldCWA___CBSTDELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldCWA___CBSTDELC_23,0.73,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldCWA___CBSTDELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldCWA___CBSTDELC_23,0.96,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldCWA___CBSTDELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldCWA___CBSTDELC_23,0.67,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldCWA___CBSTDELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedStandard EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldCWA___FRHIGELC_23,1,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldCWA___FRHIGELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldCWA___FRHIGELC_23,0.66,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldCWA___FRHIGELC_23,0.7,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldCWA___FRHIGELC_23,0.88,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldCWA___FRHIGELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldCWA___FRHIGELC_23,0.79,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
