regions,periods,tech,minact,minact_units,minact_notes
TO,2021,PASTRAROACAR___APGCONVDSL____16,3.0,,
TO,2021,PASTRAROACAR___RSHCONVDSL____16,0.2,,
TO,2021,PASTRAROACAR___TAXCONVDSL____16,0.3,,
TO,2021,PASTRAROATRULGTADRCONVDSL____16,19.5,,
TO,2021,PASTRAROATRULGTAPGCONVDSL____16,2.4,,
TO,2021,PASTRAROATRULGTRSHCONVDSL____16,0.2,,
TO,2021,PASTRAROATRULGTTAXCONVDSL____16,0.1,,
TO,2021,PASTRAROABUSSCB___CONVNGA____16,0.1,,
TO,2021,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2021,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2021,PASTRAROACAR___ADRCONVNGA____16,1.4,,
TO,2021,PASTRAROACAR___APGCONVNGA____16,0.2,,
TO,2021,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2021,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2021,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2021,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
TO,2021,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2021,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2021,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2021,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2021,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2021,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2021,PASTRAROABUSSCB___CONVGAS____16,0.2,,
TO,2021,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2021,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2021,PASTRAROACAR___ADRCONVGAS____16,1700.0,,
TO,2021,PASTRAROACAR___APGCONVGAS____16,212.7,,
TO,2021,PASTRAROACAR___RSHCONVGAS____16,13.5,,
TO,2021,PASTRAROACAR___TAXCONVGAS____16,22.9,,
TO,2021,PASTRAROAMOR______CONVGAS____16,11.9,,
TO,2021,PASTRAROATRULGTADRCONVGAS____16,1731.7,,
TO,2021,PASTRAROATRULGTAPGCONVGAS____16,216.7,,
TO,2021,PASTRAROATRULGTRSHCONVGAS____16,13.7,,
TO,2021,PASTRAROATRULGTTAXCONVGAS____16,7.5,,
TO,2021,PASTRAROACAR___ADRCONVPRO____16,18.3,,
TO,2021,PASTRAROACAR___APGCONVPRO____16,2.3,,
TO,2021,PASTRAROACAR___RSHCONVPRO____16,0.1,,
TO,2021,PASTRAROACAR___TAXCONVPRO____16,0.2,,
TO,2021,PASTRAROATRULGTADRCONVPRO____16,5.8,,
TO,2021,PASTRAROATRULGTAPGCONVPRO____16,0.7,,
TO,2021,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
TO,2021,PASTRAROATRULGTTAXCONVPRO____16,0.0,,
TO,2022,PASTRARAIREG___GOR___DSL____16,0.8,,
TO,2022,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2022,PASTRARAIREG___UPX___DSL____16,0.1,,
TO,2022,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2022,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2022,PASTRARAISUB___TSU___ELC____16,15.2,,
TO,2022,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2022,PASTRARAITRM___TST___ELC____16,2.3,,
TO,2022,PASTRAROABUSIUBDURTCONVDSL____16,0.1,,
TO,2022,PASTRAROABUSIUBGOBCONVDSL____16,0.8,,
TO,2022,PASTRAROABUSIUBMWAYCONVDSL____16,0.9,,
TO,2022,PASTRAROABUSIUBVIVACONVDSL____16,0.1,,
TO,2022,PASTRAROABUSSCB___CONVDSL____16,1.7,,
TO,2022,PASTRAROABUSURBTBUCONVDSL____16,37.3,,
TO,2022,PASTRAROABUSURBWTBCONVDSL____16,6.8,,
TO,2022,PASTRAROACAR___ADRCONVDSL____16,24.7,,
TO,2022,PASTRAROACAR___APGCONVDSL____16,3.1,,
TO,2022,PASTRAROACAR___RSHCONVDSL____16,0.2,,
TO,2022,PASTRAROACAR___TAXCONVDSL____16,0.3,,
TO,2022,PASTRAROATRULGTADRCONVDSL____16,19.8,,
TO,2022,PASTRAROATRULGTAPGCONVDSL____16,2.5,,
TO,2022,PASTRAROATRULGTRSHCONVDSL____16,0.2,,
TO,2022,PASTRAROATRULGTTAXCONVDSL____16,0.1,,
TO,2022,PASTRAROABUSSCB___CONVNGA____16,0.1,,
TO,2022,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2022,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2022,PASTRAROACAR___ADRCONVNGA____16,1.4,,
TO,2022,PASTRAROACAR___APGCONVNGA____16,0.2,,
TO,2022,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2022,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2022,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2022,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
TO,2022,PASTRAROATRULGTRSHCONVNGA____16,0.0,,
TO,2022,PASTRAROATRULGTTAXCONVNGA____16,0.0,,
TO,2022,PASTRAROABUSIUBDURTCONVGAS____16,0.0,,
TO,2022,PASTRAROABUSIUBGOBCONVGAS____16,0.0,,
TO,2022,PASTRAROABUSIUBMWAYCONVGAS____16,0.0,,
TO,2022,PASTRAROABUSIUBVIVACONVGAS____16,0.0,,
TO,2022,PASTRAROABUSSCB___CONVGAS____16,0.2,,
TO,2022,PASTRAROABUSURBTBUCONVGAS____16,0.0,,
TO,2022,PASTRAROABUSURBWTBCONVGAS____16,0.0,,
TO,2022,PASTRAROACAR___ADRCONVGAS____16,1725.7,,
TO,2022,PASTRAROACAR___APGCONVGAS____16,215.6,,
TO,2022,PASTRAROACAR___RSHCONVGAS____16,13.7,,
TO,2022,PASTRAROACAR___TAXCONVGAS____16,23.3,,
TO,2022,PASTRAROAMOR______CONVGAS____16,12.1,,
TO,2022,PASTRAROATRULGTADRCONVGAS____16,1757.8,,
TO,2022,PASTRAROATRULGTAPGCONVGAS____16,219.7,,
TO,2022,PASTRAROATRULGTRSHCONVGAS____16,13.9,,
TO,2022,PASTRAROATRULGTTAXCONVGAS____16,7.6,,
TO,2022,PASTRAROACAR___ADRCONVPRO____16,18.6,,
TO,2022,PASTRAROACAR___APGCONVPRO____16,2.3,,
TO,2022,PASTRAROACAR___RSHCONVPRO____16,0.1,,
TO,2022,PASTRAROACAR___TAXCONVPRO____16,0.3,,
TO,2022,PASTRAROATRULGTADRCONVPRO____16,5.8,,
TO,2022,PASTRAROATRULGTAPGCONVPRO____16,0.7,,
TO,2022,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
