regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2020,PASTRAROACAR___ADRCONVPRO____16,1.142737437,,
TO,2020,PASTRAROACAR___APGCONVPRO____16,0.140417632,,
TO,2020,PASTRAROACAR___RSHCONVPRO____16,0.006418689,,
TO,2020,PASTRAROACAR___TAXCONVPRO____16,0.01726524,,
TO,2020,PASTRAROATRULGTADRCONVPRO____16,0.354930888,,
TO,2020,PASTRAROATRULGTAPGCONVPRO____16,0.044364602,,
TO,2020,PASTRAROATRULGTRSHCONVPRO____16,3.32291E-05,,
TO,2020,PASTRAROATRULGTTAXCONVPRO____16,0.000110576,,
TO,2021,PASTRARAIREG___GOR___DSL____16,0.003462882,,
TO,2021,PASTRARAIREG___GOR___ELC____16,0.00015524,,
TO,2021,PASTRARAIREG___UPX___DSL____16,0.000504517,,
TO,2021,PASTRARAIREG___UPX___ELC____16,0.00012189,,
TO,2021,PASTRARAISUB___TSU___DSL____16,0.000219286,,
TO,2021,PASTRARAISUB___TSU___ELC____16,0.064715183,,
TO,2021,PASTRARAITRM___TST___DSL____16,0.000246464,,
TO,2021,PASTRARAITRM___TST___ELC____16,0.009856269,,
TO,2021,PASTRAROABUSIUBDURTCONVDSL____16,0.006229496,,
TO,2021,PASTRAROABUSIUBGOBCONVDSL____16,0.050030102,,
TO,2021,PASTRAROABUSIUBMWAYCONVDSL____16,0.05596667,,
TO,2021,PASTRAROABUSIUBVIVACONVDSL____16,0.006332236,,
TO,2021,PASTRAROABUSSCB___CONVDSL____16,0.162692322,,
TO,2021,PASTRAROABUSURBTBUCONVDSL____16,0.954458107,,
TO,2021,PASTRAROABUSURBWTBCONVDSL____16,0.17538467,,
TO,2021,PASTRAROACAR___ADRCONVDSL____16,1.637098901,,
TO,2021,PASTRAROACAR___APGCONVDSL____16,0.20175906,,
TO,2021,PASTRAROACAR___RSHCONVDSL____16,0.013529363,,
TO,2021,PASTRAROACAR___TAXCONVDSL____16,0.020140224,,
TO,2021,PASTRAROATRULGTADRCONVDSL____16,1.235853286,,
TO,2021,PASTRAROATRULGTAPGCONVDSL____16,0.156586344,,
TO,2021,PASTRAROATRULGTRSHCONVDSL____16,0.012691675,,
TO,2021,PASTRAROATRULGTTAXCONVDSL____16,0.006406222,,
TO,2021,PASTRAROABUSSCB___CONVNGA____16,0.006191935,,
TO,2021,PASTRAROABUSURBTBUCONVNGA____16,0.000204444,,
TO,2021,PASTRAROABUSURBWTBCONVNGA____16,0.000128837,,
TO,2021,PASTRAROACAR___ADRCONVNGA____16,0.089339731,,
TO,2021,PASTRAROACAR___APGCONVNGA____16,0.01277616,,
TO,2021,PASTRAROACAR___RSHCONVNGA____16,0.003898562,,
TO,2021,PASTRAROACAR___TAXCONVNGA____16,6.34079E-05,,
TO,2021,PASTRAROATRULGTADRCONVNGA____16,0.000404388,,
TO,2021,PASTRAROATRULGTAPGCONVNGA____16,6.34873E-05,,
TO,2021,PASTRAROATRULGTRSHCONVNGA____16,5.9592E-05,,
TO,2021,PASTRAROATRULGTTAXCONVNGA____16,0.000213907,,
TO,2021,PASTRAROABUSIUBDURTCONVGAS____16,7.58636E-05,,
TO,2021,PASTRAROABUSIUBGOBCONVGAS____16,0.002326071,,
TO,2021,PASTRAROABUSIUBMWAYCONVGAS____16,7.82591E-05,,
TO,2021,PASTRAROABUSIUBVIVACONVGAS____16,0.001103371,,
TO,2021,PASTRAROABUSSCB___CONVGAS____16,0.019156588,,
TO,2021,PASTRAROABUSURBTBUCONVGAS____16,0.000436622,,
TO,2021,PASTRAROABUSURBWTBCONVGAS____16,0.000216329,,
TO,2021,PASTRAROACAR___ADRCONVGAS____16,114.0568471,,
TO,2021,PASTRAROACAR___APGCONVGAS____16,14.27056767,,
TO,2021,PASTRAROACAR___RSHCONVGAS____16,0.906506281,,
TO,2021,PASTRAROACAR___TAXCONVGAS____16,1.538756385,,
TO,2021,PASTRAROAMOR______CONVGAS____16,1.993096917,,
TO,2021,PASTRAROATRULGTADRCONVGAS____16,114.3302312,,
TO,2021,PASTRAROATRULGTAPGCONVGAS____16,14.30927513,,
TO,2021,PASTRAROATRULGTRSHCONVGAS____16,0.904547877,,
TO,2021,PASTRAROATRULGTTAXCONVGAS____16,0.49520974,,
TO,2021,PASTRAROACAR___ADRCONVPRO____16,1.167809199,,
TO,2021,PASTRAROACAR___APGCONVPRO____16,0.146770718,,
TO,2021,PASTRAROACAR___RSHCONVPRO____16,0.007142134,,
TO,2021,PASTRAROACAR___TAXCONVPRO____16,0.018491412,,
TO,2021,PASTRAROATRULGTADRCONVPRO____16,0.367608098,,
TO,2021,PASTRAROATRULGTAPGCONVPRO____16,0.044372971,,
TO,2021,PASTRAROATRULGTRSHCONVPRO____16,3.94655E-05,,
TO,2021,PASTRAROATRULGTTAXCONVPRO____16,0.000138128,,
TO,2022,PASTRARAIREG___GOR___DSL____16,0.00349295,,
TO,2022,PASTRARAIREG___GOR___ELC____16,0.000179992,,
TO,2022,PASTRARAIREG___UPX___DSL____16,0.000525518,,
TO,2022,PASTRARAIREG___UPX___ELC____16,0.000139958,,
TO,2022,PASTRARAISUB___TSU___DSL____16,0.000245726,,
TO,2022,PASTRARAISUB___TSU___ELC____16,0.065115533,,
TO,2022,PASTRARAITRM___TST___DSL____16,0.000272561,,
TO,2022,PASTRARAITRM___TST___ELC____16,0.009879814,,
TO,2022,PASTRAROABUSIUBDURTCONVDSL____16,0.006235946,,
TO,2022,PASTRAROABUSIUBGOBCONVDSL____16,0.050163187,,
