regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2045,RESBDGSDENewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDEOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPAOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATNewWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGAPANewWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSYS___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSYS___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSDENewWHSYS___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2045,RESBDGSATOldWHSYS___STDBWP_23,NZ40-BDG-2-RESBDG,0,
